Model,Outcome,Pearson_r,Pearson_CI95_low,Pearson_CI95_high,Spearman_rho,Spearman_CI95_low,Spearman_CI95_high,N_windows,N_employees,Bootstrap_replicates
Linear Regression,abs_prediction_divergence,0.49008893929189856,0.44291803075040864,0.5331063117424139,0.4542522736496622,0.4099238171794501,0.4947823957606247,1488,511,5000
Linear Regression,error_degradation,0.07138197744751246,0.008369587857527642,0.13360359274557884,0.06493551506340478,0.01135295173851744,0.1188047138687619,1488,511,5000
Random Forest,abs_prediction_divergence,0.2097025602850738,0.16365776130860735,0.25573635760084984,0.2041126798451241,0.1571949207402434,0.25100012362934276,1488,511,5000
Random Forest,error_degradation,0.09582411703517757,0.04193662591212804,0.1481637980139924,0.10010469280381154,0.04634648392053043,0.1519746698271968,1488,511,5000
XGBoost,abs_prediction_divergence,0.3277431728346715,0.28111832385913066,0.3748673768818002,0.31215899115878715,0.2627959689599244,0.3581882879085316,1488,511,5000
XGBoost,error_degradation,0.0417619135635367,-0.020149621491015336,0.10792048114658817,0.044331045552861034,-0.007725940063443054,0.09981815895248912,1488,511,5000
