Model,Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N
Linear Regression,Linear_Regression_abs_prediction_divergence,0.49008893929189856,9.765299360032514e-91,0.4542522736496622,1.2127970820714852e-76,1488
Linear Regression,Linear_Regression_error_degradation,0.07138197744751246,0.005874023420827827,0.06493551506340478,0.012231257516422983,1488
Random Forest,Random_Forest_abs_prediction_divergence,0.2097025602850738,2.9972423178165423e-16,0.2041126798451241,1.853193461535815e-15,1488
Random Forest,Random_Forest_error_degradation,0.09582411703517757,0.0002140821129125669,0.10010469280381154,0.00010974386787448313,1488
XGBoost,XGBoost_abs_prediction_divergence,0.3277431728346715,1.3500824362523085e-38,0.31215899115878715,5.449937452131681e-35,1488
XGBoost,XGBoost_error_degradation,0.0417619135635367,0.10733282859888106,0.044331045552861034,0.08736655320328825,1488
