View,Model,N_train,N_intermediate_holdout,N_test,MAE,RMSE,R2
Benchmark,Linear Regression,4448,1469,1488,0.0787602541361199,0.1034515132145992,0.6620282187604708
Benchmark,Random Forest,4448,1469,1488,0.0801864446038274,0.1054241365910016,0.6490163781476959
Benchmark,XGBoost,4448,1469,1488,0.0782333721029865,0.102569074429887,0.6677694092251134
Manager,Linear Regression,4448,1469,1488,0.0801049705914943,0.1050135744724553,0.6517447853698997
Manager,Random Forest,4448,1469,1488,0.0821591138052148,0.1075333995972945,0.6348313404341501
Manager,XGBoost,4448,1469,1488,0.0802911989111205,0.1055278120496349,0.6483257150500206
